2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
120.6058109,32.126,19.711,26.216,13.083,31.444,21.984,18.078,10.01,19.16,23.16,21.16,22.16,2.121,30.768
114.2516169,31.444,19.711,26.847,12.623,23.758,21.406,19.16,9.198,19.16,21.406,20.283,20.8445,2.121,30.768
95.41983208,30.768,23.16,26.847,12.169,23.758,19.16,19.711,8.416,20.269,14.997,17.633,16.315,2.121,30.768
91.46808756,30.768,25.592,25.592,12.169,18.078,18.078,23.16,8.416,21.984,15.493,18.7385,17.11575,2.121,30.768
98.58655582,30.098,23.16,24.363,11.723,17.547,18.078,25.592,8.416,23.16,16.507,19.8335,18.17025,2.184,31.444
99.95120227,30.098,22.569,23.758,10.427,16.507,18.616,26.847,8.416,23.16,15.996,19.578,17.787,2.121,32.126
95.67965056,30.098,22.569,23.16,9.6,16.507,19.711,28.128,8.037,24.363,15.493,15.96433333,0.136,2.121,32.126
93.7663364,15.493,23.16,20.834,9.198,15.996,19.711,29.435,8.416,26.216,15.493,16.70833333,0.207,2.121,32.126
90.47081906,23.16,24.974,19.711,9.198,14.508,19.711,29.435,9.198,25.592,14.997,16.59566667,0.207,2.121,32.126
93.9343588,23.16,22.569,19.711,9.198,14.508,21.984,27.484,11.284,23.758,14.997,16.67966667,0.207,1.351,32.126
91.2953675,21.984,24.363,18.616,9.6,14.026,26.216,25.592,13.083,23.758,14.997,17.27933333,0.136,0.608,32.815
89.75628284,22.569,26.216,18.078,10.01,13.551,23.16,25.592,13.551,21.984,16.507,17.34733333,0.136,0.491,32.815
95.97222506,21.984,22.569,18.616,10.01,12.623,17.547,30.098,13.083,18.616,18.078,16.59233333,0.136,0.491,32.815
90.30211631,21.984,28.128,17.547,9.6,11.723,16.507,29.435,12.169,19.16,19.16,16.82966667,0.136,0.29,35.632
85.69514461,22.569,34.918,16.507,10.01,11.284,19.711,28.128,16.507,19.16,21.406,19.02433333,0.079,0.035,37.811
95.47832617,23.16,32.126,15.493,10.427,10.852,17.547,26.847,18.078,19.16,22.569,19.93566667,0.035,9.985333333,39.295
95.50684969,23.758,30.768,15.493,12.623,10.852,11.723,25.592,21.984,19.16,23.16,21.43466667,0.035,10.73483333,39.295
92.3643579,23.758,29.435,17.547,12.623,10.427,11.723,24.363,26.847,21.984,19.711,22.84733333,0.008,11.42766667,40.046
100.0762854,28.128,30.768,15.493,12.623,10.01,10.852,24.363,29.435,26.216,20.269,25.30666667,22.78783333,24.04725,40.046
103.8554445,24.974,29.435,15.493,13.083,10.01,10.852,24.363,28.778,33.51,20.269,27.519,23.894,25.7065,40.046
111.2048737,24.974,28.778,28.128,12.623,10.01,10.852,24.974,42.336,38.55,20.269,33.71833333,26.99366667,30.356,40.046
113.6513993,24.363,26.216,37.811,12.169,9.6,12.169,24.363,40.803,40.803,19.16,33.58866667,26.37433333,29.9815,40.046
115.8244434,24.363,24.974,40.803,11.723,9.6,15.493,23.758,34.918,42.336,19.16,32.138,25.649,28.8935,40.046
116.2422167,23.758,23.758,40.046,10.852,10.01,16.507,24.363,28.128,42.336,18.616,29.69333333,24.15466667,26.924,40.803
116.9592204,23.758,21.984,36.352,10.852,10.01,14.508,24.974,26.847,42.336,18.078,29.087,23.5825,26.33475,40.803
117.1189741,23.16,20.834,33.51,10.852,10.852,14.508,25.592,25.592,41.566,17.547,28.235,22.891,25.563,40.803
115.8740622,20.834,20.834,33.51,10.852,11.723,14.508,24.974,25.592,42.336,17.024,28.31733333,22.67066667,25.494,39.295
113.7644787,19.711,20.269,40.803,11.723,11.723,14.508,21.406,21.984,40.803,17.024,26.60366667,21.81383333,24.20875,40.046
115.2402966,18.616,20.269,48.711,11.723,11.723,17.024,19.711,19.711,38.55,18.078,25.44633333,21.76216667,23.60425,41.566
107.9376189,18.616,23.758,45.475,11.723,13.083,16.507,18.616,19.711,35.632,17.547,24.29666667,20.92183333,22.60925,41.566
116.375602,18.078,24.363,41.566,11.723,14.508,16.507,17.547,20.269,32.126,21.984,24.793,23.3885,24.09075,42.336
112.8274564,18.616,21.984,37.811,10.01,20.834,18.078,18.616,23.16,32.126,15.996,23.76066667,19.87833333,21.8195,44.3055
119.2261081,23.16,19.711,40.803,10.01,23.16,20.834,24.363,23.16,32.126,15.996,23.76066667,19.87833333,21.8195,46.275
120.8184065,21.984,18.616,37.811,10.01,24.363,20.834,25.592,24.363,32.126,15.493,23.994,19.7435,21.86875,47.893
119.3275415,21.984,18.078,34.211,11.723,23.16,20.269,27.484,26.216,31.444,15.493,24.38433333,19.93866667,22.1615,48.711
116.6446488,26.847,17.547,30.768,15.493,21.984,19.711,27.484,30.098,30.768,15.493,25.453,20.473,22.963,51.201
,,,,,,,,,,,,,,
86.82417428,26.847,16.507,27.484,16.507,21.406,19.711,29.435,32.126,35.632,14.997,0.385,0.29,0.136,75.985
87.17434946,28.778,15.493,25.592,16.507,21.406,20.834,28.128,37.811,35.632,14.026,0.385,0.29,0.207,80.013
86.54950511,32.126,15.493,25.592,18.616,21.406,19.711,26.847,40.803,36.352,14.997,0.385,0.385,0.491,83.092
76.38807524,32.126,14.997,24.363,30.098,23.758,17.547,25.592,43.893,36.352,16.507,0.385,0.385,1.024,89.402
84.26683653,30.768,15.493,23.16,27.484,28.128,17.024,24.974,47.893,30.098,18.078,0.491,0.385,1.914,94.813
95.27251304,26.847,16.507,21.984,23.16,43.893,15.493,24.363,57.219,29.435,19.711,0.491,0.385,2.121,95.912
109.0171374,24.363,18.616,20.834,20.834,43.893,18.616,25.592,65.378,28.778,28.128,0.608,0.491,2.336,97.016
120.7246338,23.758,18.616,19.711,20.834,53.744,20.834,30.768,72.048,28.778,32.815,0.736,0.608,2.561,97.016
